chrX	627300	630030	1.00667723588873
chrX	24215790	24216470	2.0544486489158
chr3	7534750	7534950	2.13682886659378
chr4	2387734	2396338	0.511051210743409
chr4	2513203	2514513	0.776952111960455
chr4	2622214	2631308	0.587029214808959
chr4	2753363	2754803	0.567785335405675
chr4	2886033	2887593	0.638936499499418
chr4	3628743	3630103	1.00742646249963
chr4	3716604	3717454	1.3465881885451
chr2R	10870780	10872030	1.05276044656245
chr2R	32218370	32219880	0.639020331167882
u5	113600	118600	0.794559955286407
